ID;Name;Name2;Groesse;Typ;Beschreibung;Bereich;Ballspielplatz;Skater;Streetball;Latitude;Longitude
774;Sp Biederlackweg;Biederlackweg;660;2;2 - Wohngebietsspielplatz;B/C;integriert;;ja;7.660784516085339; 51.933173676407336
776;Sp Gescherweg - West;Gescherweg - West;820;2;2 - Wohngebietsspielplatz;B/C;;;;7.57346099156832; 51.974311913636143
778;Sp Aaseemarkt, Goerdelerstrasse;Aaseemarkt, Goerdelerstrasse;1500;2;2 - Wohngebietsspielplatz;B/C;;;;7.607449170217752; 51.945462222670479
779;Sp Legdenweg-Ost;Legdenweg-Ost;1480;2;2 - Wohngebietsspielplatz;B/C;;;;7.56835091748775; 51.977566552683435
780;Sp Mindener Strasse;Mindener Strasse;1004;2;2 - Wohngebietsspielplatz;B/C;integriert;;ja;7.648490314459103; 51.956680891481895
781;Sp Albert-Schweitzer-Schule;Albert-Schweitzer-Schule;430;2;2 - Wohngebietsspielplatz;B/C;;;ja;7.657028016208121; 51.959178314456032
782;Sp Rigaweg;Rigaweg;1719;2;2 - Wohngebietsspielplatz;B/C;;;;7.608573355679019; 51.975423805753671
783;Sp Thomas-Morus-Schule;Thomas-Morus-Schule;517;2;2 - Wohngebietsspielplatz;B/C;;;Balltrichter;7.644870765470205; 51.974453624025131
785;Sp Samlandufer;Samlandufer;2659;2;2 - Wohngebietsspielplatz;B/C;;;;7.65887271935918; 51.992940335892825
786;Sp Idaschule, V�rnste Esch;Idaschule, V�rnste Esch;679;2;2 - Wohngebietsspielplatz;B/C;;;;7.672703748158869; 51.932310902235784
787;Sp Sankt-Josef-Kirchplatz;Sankt-Josef-Kirchplatz;;;;;;;;7.626817033833904; 51.949437583177158
788;Sp Albachtener Strasse;Albachtener Strasse;2430;4;4 - Zentraler Spielplatz;A+B/C;integriert;;;7.524238488587376; 51.926041423465435
789;Sp Bodelschwinghstrasse;Bodelschwinghstrasse;1012;2;2 - Wohngebietsspielplatz;B/C;;;;7.646702601981798; 51.907765160381565
790;Sp Boelestrasse;Boelestrasse;3300;3;3 - Alle Altersklassen;A;integriert;;;7.692470616951423; 51.917036559023941
791;Sp Lange Kuhle;Lange Kuhle;4349;3;3 - Alle Altersklassen;A;integriert;;ja;7.611748505744719; 51.884330603980032
640;Sp Hoppengarten-S�d;Hoppengarten-S�d;2965;3;3 - Alle Altersklassen;A;;;;7.650412118939931; 51.974571139598261
641;Sp Am Hornbach;Am Hornbach;2666;3;3 - Alle Altersklassen;A;integriert;ja;ja;7.717050262697682; 52.002692752809274
642;Sp Vogelrohrsheide;Vogelrohrsheide;1995;2;2 - Wohngebietsspielplatz;B/C;integriert;;ja;7.681999211787073; 51.917252403239075
643;Sp Kupferbrink;Kupferbrink;1077;2;2 - Wohngebietsspielplatz;B/C;;;;7.718694605670472; 51.922546816425864
644;Sp Bentelerstrasse;Bentelerstrasse;777;2;2 - Wohngebietsspielplatz;B/C;;;;7.59259241833075; 51.973589215788898
645;Sp H�ger;H�ger;1038;2;2 - Wohngebietsspielplatz;B/C;;;;7.562269092578188; 52.020266725311295
647;Sp Memmertweg-Nord;Memmertweg-Nord;1137;3;3 - Alle Altersklassen;A;;;;7.618189404774695; 51.997332943360917
648;Sp Am Kalvarienberg;Am Kalvarienberg;816;2;2 - Wohngebietsspielplatz;B/C;;;;7.645663843572001; 51.903645645074597
